# Multi-model ensemble (QDM bias-corrected) CMIP6: near-2050s (7-model MME-BC) / high-warming (+2.3 C envelope), 2041-2050 vs 1995-2014
month,tmean_now,eip_now,eip_near_cmip6,eip_high_23,window_now,window_near_cmip6,window_high_23,compress_near,compress_high
3,19.82177419354839,127.15845090142253,46.845943257460306,31.72829907747424,78.03251912243148,51.345943257460306,36.22829907747424,26.686575864971175,41.80422004495724
4,22.859166666666667,48.11252041363172,15.73255329105575,10.527252573586393,29.5472212191772,20.23255329105575,15.027252573586393,9.314667928121448,14.519968645590806
5,26.14717741935484,11.535260755996426,5.683803301485138,4.227690707979856,12.500132010283345,10.183803301485138,8.727690707979857,2.3163287087982063,3.7724413023034877
6,27.927083333333332,4.785121415538217,2.8991714561517523,2.0380529820958917,8.85786613479695,7.399171456151752,6.538052982095891,1.4586946786451982,2.319813152701059
7,28.773790322580645,3.6860901495633547,2.244181461338866,1.6193381354545515,7.772342849643822,6.744181461338866,6.1193381354545515,1.028161388304956,1.6530047141892705
8,28.155645161290323,4.393343915640132,2.999904564055775,2.3214078755533567,8.532927896843685,7.499904564055775,6.821407875553357,1.0330233327879093,1.7115200212903279
9,27.492083333333333,5.673608944191235,3.444288561743173,2.472705464538851,9.55200683657836,7.944288561743173,6.972705464538851,1.6077182748351877,2.5793013720395095
10,24.270967741935483,22.289484061620264,10.500936885005487,7.5834117085301225,19.796663521693368,15.000936885005487,12.083411708530122,4.795726636687881,7.713251813163247
11,20.84625,99.81682762173646,28.77601891129605,17.564495366211695,55.50916689771081,33.27601891129605,22.064495366211695,22.233147986414764,33.44467153149912

# sensitivity: annual_warming, season_weeks, jul_window_compress
# 0.5,34.56,0.51
# 1.0,35.78,0.93
# 1.5,36.89,1.29
# 2.0,38.56,1.60
# 2.3,39.00,1.76
# 2.5,39.44,1.85
# 3.0,40.67,2.07
